poleId,height,heightNumeric,diameter,poleType,status,latitude,longitude,ponNumber,zoneNumber,dropCount
LAW.P.A001,7m,7.0,140-160mm,feeder,Permission not granted,-26.37849016,27.808374608968297,1,1,0
LAW.P.A002,7m,7.0,140-160mm,feeder,Permission not granted,-26.37844683,27.80865019,1,1,0
LAW.P.A003,7m,7.0,120-140mm,distribution,Permission not granted,-26.37840496,27.80890143,1,1,0
LAW.P.A004,7m,7.0,140-160mm,feeder,Permission not granted,-26.3783483,27.809276914664796,1,1,0
LAW.P.A005,7m,7.0,140-160mm,feeder,Permission not granted,-26.37852622,27.8093114,1,1,0
LAW.P.A006,7m,7.0,120-140mm,distribution,Permission not granted,-26.37850684,27.80943478,1,1,0
LAW.P.A007,7m,7.0,120-140mm,distribution,Permission not granted,-26.37846731,27.80968653,1,1,0
LAW.P.A008,7m,7.0,120-140mm,distribution,Permission not granted,-26.37844793,27.809809931600597,1,1,0
LAW.P.A009,7m,7.0,120-140mm,distribution,Permission not granted,-26.37840841,27.8100616,1,1,0
LAW.P.A010,7m,7.0,120-140mm,distribution,Permission not granted,-26.37838903,27.81018498,1,1,0
LAW.P.A011,7m,7.0,140-160mm,feeder,Permission not granted,-26.37834951,27.81043668,1,1,0
LAW.P.A012,7m,7.0,140-160mm,feeder,Permission not granted,-26.37817138,27.81040214,1,1,0
LAW.P.A013,7m,7.0,140-160mm,feeder,Permission not granted,-26.37879703,27.80871806,1,1,0
LAW.P.A014,7m,7.0,120-140mm,distribution,Permission not granted,-26.37876451,27.80892535,1,1,0
LAW.P.A015,7m,7.0,120-140mm,distribution,Permission not granted,-26.378742,27.80906847,1,1,0
LAW.P.A016,7m,7.0,120-140mm,distribution,Permission not granted,-26.37864502,27.80972096,1,1,0
LAW.P.A017,7m,7.0,120-140mm,distribution,Permission not granted,-26.37858604,27.81009602,1,1,0
LAW.P.A018,7m,7.0,140-160mm,feeder,Permission not granted,-26.37852706,27.81047111,1,1,0
LAW.P.A019,7m,7.0,140-160mm,feeder,Permission not granted,-26.37776553,27.808216733783187,2,1,0
LAW.P.A020,7m,7.0,140-160mm,feeder,Permission not granted,-26.37777254,27.808172047070098,2,1,0
LAW.P.A021,7m,7.0,120-140mm,distribution,Permission not granted,-26.37765205,27.80814869,2,1,0
LAW.P.A022,7m,7.0,120-140mm,distribution,Permission not granted,-26.37753867,27.80812672,2,1,0
LAW.P.A023,7m,7.0,140-160mm,feeder,Permission not granted,-26.37742589,27.80810486,2,1,0
LAW.P.A024,7m,7.0,120-140mm,distribution,Permission not granted,-26.37744528,27.80798146,2,1,0
LAW.P.A025,7m,7.0,140-160mm,feeder,Permission not granted,-26.37746467,27.80785811,2,1,0
LAW.P.A026,7m,7.0,120-140mm,distribution,Permission not granted,-26.37738711,27.808351638669198,2,1,0
LAW.P.A027,7m,7.0,140-160mm,feeder,Permission not granted,-26.37734833,27.80859838,2,1,0
LAW.P.A028,7m,7.0,140-160mm,feeder,Permission not granted,-26.37757454,27.80864221,2,1,0
LAW.P.A029,7m,7.0,140-160mm,feeder,Permission not granted,-26.37810773,27.808300578692098,2,1,0
LAW.P.A030,7m,7.0,140-160mm,feeder,Permission not granted,-26.37806625,27.80856462,2,1,0
LAW.P.A031,7m,7.0,140-160mm,feeder,Permission not granted,-26.37800576,27.808552878163002,2,1,0
LAW.P.A032,7m,7.0,120-140mm,distribution,Permission not granted,-26.37798488,27.808686191407396,2,1,0
LAW.P.A033,7m,7.0,120-140mm,distribution,Permission not granted,-26.37796391,27.80881941,2,1,0
LAW.P.A034,7m,7.0,120-140mm,distribution,Permission not granted,-26.37794294,27.80895263,2,1,0
LAW.P.A035,7m,7.0,120-140mm,distribution,Permission not granted,-26.37792197,27.809085948753598,2,1,0
LAW.P.A036,7m,7.0,120-140mm,distribution,Permission not granted,-26.377901,27.80921917,2,1,0
LAW.P.A037,7m,7.0,120-140mm,distribution,Permission not granted,-26.37785915,27.809485706264898,2,1,0
LAW.P.A038,7m,7.0,120-140mm,distribution,Permission not granted,-26.37779624,27.80988546,2,1,0
LAW.P.A039,7m,7.0,120-140mm,distribution,Permission not granted,-26.37777536,27.81001868,2,1,0
LAW.P.A040,7m,7.0,140-160mm,feeder,Permission not granted,-26.37773342,27.81028522,2,1,0
LAW.P.A041,7m,7.0,140-160mm,feeder,Permission not granted,-26.37851602,27.811628579228003,3,1,0
LAW.P.A042,7m,7.0,120-140mm,distribution,Permission not granted,-26.3783956,27.81160523,3,1,0
LAW.P.A043,7m,7.0,120-140mm,distribution,Permission not granted,-26.37816444,27.81156041,3,1,0
LAW.P.A044,7m,7.0,140-160mm,feeder,Permission not granted,-26.37793329,27.81151559,3,1,0
LAW.P.A045,7m,7.0,140-160mm,feeder,Permission not granted,-26.37794267,27.81145594,3,1,0
LAW.P.A046,7m,7.0,140-160mm,feeder,Permission not granted,-26.37773712,27.81141609,3,1,0
LAW.P.A047,7m,7.0,140-160mm,feeder,Permission not granted,-26.37772774,27.81147574,3,1,0
LAW.P.A048,7m,7.0,120-140mm,distribution,Permission not granted,-26.3775846,27.81144799,3,1,0
LAW.P.A049,7m,7.0,140-160mm,feeder,Permission not granted,-26.37755135,27.811441635439166,3,1,0
LAW.P.A050,7m,7.0,120-140mm,distribution,Permission not granted,-26.37756583,27.811351167344498,3,1,0
LAW.P.A051,7m,7.0,120-140mm,distribution,Permission not granted,-26.3775868,27.811217949221398,3,1,0
LAW.P.A052,7m,7.0,120-140mm,distribution,Permission not granted,-26.37762865,27.81095141,3,1,0
LAW.P.A053,7m,7.0,120-140mm,distribution,Permission not granted,-26.37764963,27.810818193718298,3,1,0
LAW.P.A054,7m,7.0,140-160mm,feeder,Permission not granted,-26.37769148,27.81055166,3,1,0
LAW.P.A055,7m,7.0,140-160mm,feeder,Permission not granted,-26.37786765,27.81058585,3,1,0
LAW.P.A056,7m,7.0,140-160mm,feeder,Permission not granted,-26.37796235,27.810595630065798,3,1,0
LAW.P.A057,7m,7.0,140-160mm,feeder,Permission not granted,-26.37793131,27.81079305,3,1,0
LAW.P.A058,7m,7.0,120-140mm,distribution,Permission not granted,-26.37810469,27.81082666,3,1,0
LAW.P.A059,7m,7.0,140-160mm,feeder,Permission not granted,-26.3782825,27.81086112,3,1,0
LAW.P.A060,7m,7.0,140-160mm,feeder,Permission not granted,-26.37825183,27.81105861,3,1,0
LAW.P.A061,7m,7.0,140-160mm,feeder,Permission not granted,-26.37833012,27.81056012,3,1,0
LAW.P.A062,7m,7.0,140-160mm,feeder,Permission not granted,-26.37846031,27.81089559,3,1,0
LAW.P.A063,7m,7.0,140-160mm,feeder,Permission not granted,-26.37867412,27.811863131790385,3,1,0
LAW.P.A064,7m,7.0,120-140mm,distribution,Permission not granted,-26.37925688,27.811975571707272,3,1,0
LAW.P.A065,7m,7.0,120-140mm,distribution,Permission not granted,-26.37986283,27.81209302046964,3,1,0
LAW.P.A066,7m,7.0,140-160mm,feeder,Permission not granted,-26.38041875,27.812200774685497,3,1,0
LAW.P.A067,7m,7.0,140-160mm,feeder,Permission not granted,-26.3804848,27.81200126224164,3,1,0
LAW.P.A068,7m,7.0,140-160mm,feeder,Permission not granted,-26.37730124,27.81116928,4,1,0
LAW.P.A069,7m,7.0,140-160mm,feeder,Permission not granted,-26.37714122,27.81113829,4,1,0
LAW.P.A070,7m,7.0,140-160mm,feeder,Permission not granted,-26.37711019,27.81133569,4,1,0
LAW.P.A071,7m,7.0,140-160mm,feeder,Permission not granted,-26.37695831,27.81130820226662,4,1,0
LAW.P.A072,7m,7.0,120-140mm,distribution,Permission not granted,-26.37700502,27.81101369,4,1,0
LAW.P.A073,7m,7.0,140-160mm,feeder,Permission not granted,-26.37703451,27.81082612,4,1,0
LAW.P.A074,7m,7.0,140-160mm,feeder,Permission not granted,-26.37701866,27.81069591,4,1,0
LAW.P.A075,7m,7.0,140-160mm,feeder,Permission not granted,-26.37703806,27.81057249,4,1,0
LAW.P.A076,7m,7.0,140-160mm,feeder,Permission not granted,-26.37726447,27.81061637,4,1,0
LAW.P.A077,7m,7.0,120-140mm,distribution,Permission not granted,-26.37707684,27.81032572,4,1,0
LAW.P.A078,7m,7.0,140-160mm,feeder,Permission not granted,-26.37711563,27.810078942773796,4,1,0
LAW.P.A079,7m,7.0,140-160mm,feeder,Permission not granted,-26.37734199,27.81012282,4,1,0
LAW.P.A080,7m,7.0,120-140mm,distribution,Permission not granted,-26.3771544,27.80983228,4,1,0
LAW.P.A081,7m,7.0,140-160mm,feeder,Permission not granted,-26.3771932,27.809585397608497,4,1,0
LAW.P.A082,7m,7.0,140-160mm,feeder,Permission not granted,-26.37741951,27.80962926,4,1,0
LAW.P.A083,7m,7.0,120-140mm,distribution,Permission not granted,-26.37721258,27.8094621,4,1,0
LAW.P.A084,7m,7.0,120-140mm,distribution,Permission not granted,-26.37725138,27.80921527,4,1,0
LAW.P.A085,7m,7.0,140-160mm,feeder,Permission not granted,-26.37727077,27.809091868101298,4,1,0
LAW.P.A086,7m,7.0,120-140mm,distribution,Permission not granted,-26.37738352,27.80911372,4,1,0
LAW.P.A087,7m,7.0,140-160mm,feeder,Permission not granted,-26.37749703,27.80913572,4,1,0
LAW.P.A088,7m,7.0,140-160mm,feeder,Permission not granted,-26.37657751,27.809931445374296,5,1,0
LAW.P.A089,7m,7.0,120-140mm,distribution,Permission not granted,-26.37652623,27.81024136852294,5,1,0
LAW.P.A090,7m,7.0,120-140mm,distribution,Permission not granted,-26.37648309,27.810543093435435,5,1,0
LAW.P.A091,7m,7.0,120-140mm,distribution,Permission not granted,-26.37643609,27.810874951672584,5,1,0
LAW.P.A092,7m,7.0,120-140mm,distribution,Permission not granted,-26.37641292,27.81113743465848,5,1,0
LAW.P.A093,7m,7.0,140-160mm,feeder,Permission not granted,-26.37640544,27.81137683699777,5,1,0
LAW.P.A094,7m,7.0,120-140mm,distribution,Permission not granted,-26.37628486,27.811349308831087,5,1,0
LAW.P.A095,7m,7.0,140-160mm,feeder,Permission not granted,-26.37609178,27.811305115012154,5,1,0
LAW.P.A096,7m,7.0,140-160mm,feeder,Permission not granted,-26.37616276,27.81068362227704,5,1,0
LAW.P.A097,7m,7.0,140-160mm,feeder,Permission not granted,-26.37588926,27.811264782789063,5,1,0
LAW.P.A098,7m,7.0,120-140mm,distribution,Permission not granted,-26.37593388,27.81089063705995,5,1,0
LAW.P.A099,7m,7.0,120-140mm,distribution,Permission not granted,-26.37598658,27.810553447255035,5,1,0
LAW.P.A100,7m,7.0,120-140mm,distribution,Permission not granted,-26.37602361,27.810262797852467,5,1,0
LAW.P.A101,7m,7.0,140-160mm,feeder,Permission not granted,-26.37603708,27.810085490494917,5,1,0
LAW.P.A102,7m,7.0,140-160mm,feeder,Permission not granted,-26.37618408,27.81013711162433,5,1,0
LAW.P.A103,7m,7.0,140-160mm,feeder,Permission not granted,-26.37622694,27.809820975015615,5,1,0
LAW.P.A104,7m,7.0,140-160mm,feeder,Permission not granted,-26.37662019,27.80967432,6,1,0
LAW.P.A105,7m,7.0,120-140mm,distribution,Permission not granted,-26.37664022,27.80954705,6,1,0
LAW.P.A106,7m,7.0,120-140mm,distribution,Permission not granted,-26.37667907,27.809300332047002,6,1,0
