Pole Number,First Permission Date,Original Agent,Contact Number,Property ID,Latitude,Longitude,Address,Status
LAW.P.A001,,,,242783,-26.3784904522287,27.808375314336,6959 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A002,,,,242785,-26.3784502815554,27.8086500877417,6959 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A003,,,,276273,-26.3784078,27.8090412,12 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A004,,,,247073,-26.3783448731581,27.8092744660041,6903 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A005,,,,324869,-26.3786403738419,27.8092076623786,11 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Home Sign Ups: Approved & Installation Scheduled
LAW.P.A006,,,,247108,-26.3785078080726,27.8094345037627,6951 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A007,,,,247115,-26.3784645468122,27.8096840481021,6907 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A008,,,,247116,-26.3784474763075,27.8098088473674,6910 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A009,,,,247127,-26.3784078206454,27.8100590942547,6912 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A010,,,,247144,-26.3783933907551,27.8101844000785,6941 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A011,,,,247152,-26.3783500608556,27.8104399900757,6936 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A012,,,,247149,-26.3781665743357,27.8104002716046,6918 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A013,,,,247040,-26.3787975343523,27.8087139353626,6958 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A014,,,,321592,-26.378860821947,27.8088936507766,5 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A015,,,,247033,-26.378743204333,27.8090677527294,6954 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A016,,,,247026,-26.37864615361,27.8097171216005,6948 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A017,,,,324562,-26.3785974257516,27.8100380790709,29 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A018,,,,247003,-26.3785288602072,27.8104795114599,6937 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A019,,,,242720,-26.3777658135685,27.8082182383596,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.377765813568487, 27.808218238359547]",Pole Permission: Approved
LAW.P.A020,,,,242723,-26.3777747238558,27.8081717878888,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.3777747238558, 27.808171787888842]",Pole Permission: Approved
LAW.P.A021,,,,348261,-26.3776518550737,27.8081499412691,75 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A022,,,,247495,-26.3775395171384,27.8081265690615,6377 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A023,,,,247489,-26.377429784644,27.808102214989,6378 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A024,,,,282093,-26.3774391399137,27.8079834532774,310 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A025,,,,277344,-26.3774667220589,27.8078587760998,69 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A026,,,,247464,-26.3773876722542,27.8083476980217,6312 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A027,,,,247456,-26.3773498381623,27.8086025914275,6367 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A028,,,,247461,-26.3775739077387,27.8086487271771,6369 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A029,,,,242780,-26.3781079284469,27.8082981652871,"LOUIS STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.37810792844687, 27.808298165287106]",Pole Permission: Approved
LAW.P.A030,,,,283457,-26.3780637364623,27.8085758210348,3 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A031,,,,282119,-26.3779865785531,27.8085603113235,38 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A032,,,,243335,-26.3779838111797,27.8086912333104,6837 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A033,,,,243334,-26.3779649071668,27.8088226253152,6891 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A034,,,,243337,-26.3779374929926,27.808953698374,6839 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A035,,,,325363,-26.3780303868848,27.8090743623173,9 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A036,,,,243343,-26.3778969770363,27.8092242186409,6841 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A037,,,,332576,-26.3778629826158,27.809484977042,15 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A038,,,,243351,-26.3777863816249,27.809884427552,6846 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A039,,,,243352,-26.3777731907063,27.8100208169832,6847 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A040,,,,324042,-26.377642671411,27.81036131317,64 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A041,,,,246962,-26.3785153508315,27.8116254273822,6868 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A042,,,,246968,-26.3783909314315,27.8116150296931,6866 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A043,,,,247016,-26.3781722751963,27.8115645987236,6865 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A044,,,,281571,-26.3779331634949,27.8115102110333,18 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A045,,,,247228,-26.3779464510823,27.8114620704087,6872 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A046,,,,247085,-26.3777374518525,27.8114179486624,6862 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A047,,,,247088,-26.3777290300196,27.8114760164653,6862 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A048,,,,247099,-26.3775883473446,27.8114500073138,6860 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A049,,,,247068,-26.3775521721365,27.8114418588851,6859 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A050,,,,247074,-26.377562890781,27.8113547559281,6857 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A051,,,,247212,-26.3775902621598,27.8112194454963,6874 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A052,,,,344951,-26.3775251274801,27.8110048124797,74 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A053,,,,247190,-26.377648558543,27.8108205561981,6853 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A054,,,,323975,-26.3775976440042,27.8104784970262,66 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A055,,,,247168,-26.3778692450713,27.8105813346442,"SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB [-26.377869245071263, 27.810581334644244]",Pole Permission: Approved
LAW.P.A056,,,,282267,-26.3779607141865,27.8105966573834,70 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A057,,,,282258,-26.3779297726906,27.8107939625804,70 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A058,,,,276184,-26.3781263,27.8106675,54 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A059,,,,283992,-26.3782824664416,27.8108663584058,53 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A060,,,,326254,-26.3780927984323,27.8111211997348,64 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A061,,,,287570,-26.3783323432324,27.8105618586608,45 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A062,,,,246972,-26.3784615980546,27.8108944024974,6933 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A063,,,,320043,-26.3786817848721,27.8118755624187,33 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A064,,,,281569,-26.3792552168728,27.8119786663033,33 AMOGELANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A065,,,,281576,-26.3798718590457,27.8120832592064,6 LERATO STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
LAW.P.A066,,,,276737,-26.3804191014596,27.8121898980159,6961 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Pole Permission: Approved
