Pole Number,Agent Name,Times Submitted,Unique Dates,All Dates,Address,Risk Level,Action
LAW.P.D136,Tholakele,5,1,2025-06-25,32 FLOUNDER CIRCLE LAWLEY LENASIA 1824 GT 79800121,LOW,SYSTEM DUPLICATE
LAW.P.D975,Ana Jane,5,1,2025-06-02,19 INKANYEZI STREET LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.A187,Yolanda,4,1,2025-05-31,SECOND AVENUE LAWLEY ESTATE LENASIA 1824 GT 798000,LOW,SYSTEM DUPLICATE
LAW.P.D554,Almerinda,4,1,2025-05-29,7045 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,LOW,SYSTEM DUPLICATE
LAW.P.D846,Yolanda,4,1,2025-05-29,6696 LAWLEY ESTATE LENASIA 1824 GT 79800121 JHB,LOW,SYSTEM DUPLICATE
LAW.P.E216,itumeleng,4,1,2025-06-04,60 MAHLANGU CRESCENT LAWLEY ESTATE LENASIA 1824 GT,LOW,SYSTEM DUPLICATE
LAW.P.A806,itumeleng,4,1,2025-06-10,5 KEREKE STREET LAWLEY ESTATE LENASIA 1824 GT 7980,LOW,SYSTEM DUPLICATE
LAW.P.B736,Ana Jane,4,1,2025-06-03,13 HINGALWI STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.A235,itumeleng,3,1,2025-07-03,1 KWENA STREET LAWLEY ESTATE LENASIA 1824 GT 79800,LOW,SYSTEM DUPLICATE
LAW.P.C920,Angelique,3,1,2025-06-11,96 BARRACUDA ROAD LAWLEY LENASIA 1824 GT 79800121 ,LOW,SYSTEM DUPLICATE
LAW.P.C540,Lerato,3,1,2025-05-29,47 MAHLANGU STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.D639,Almerinda,3,1,2025-06-02,74 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.D632,Vinolia,3,1,2025-06-03,98 RAMODIKE STREET LAWLEY ESTATE LENASIA 1824 GT 7,LOW,SYSTEM DUPLICATE
LAW.P.D974,itumeleng,3,1,2025-06-03,23 INKANYEZI STREET LAWLEY ESTATE LENASIA 1824 GT ,LOW,SYSTEM DUPLICATE
LAW.P.B267,itumeleng,3,1,2025-06-06,35 MOTAUNG STREET LAWLEY ESTATE LENASIA 1824 GT 79,LOW,SYSTEM DUPLICATE
