Pole Number,Number of Locations,Location 1,Location 2,Location 3,Action Needed
LAW.P.A002,4,2 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,10 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A003,3,12 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,8 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,10 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A004,3,14 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,18 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6903 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A005,4,6902 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,11 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,14 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A006,2,6951 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,20 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A008,3,21 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6910 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,32 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A009,2,6912 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,33 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A010,2,6941 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,35 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A012,2,50 MOPHANI STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6918 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A013,4,12 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,14 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,3 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A014,4,3 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,5 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6954 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A015,2,9 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6954 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A016,4,17 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,21 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,19 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A017,3,29 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6942 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,31 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A018,3,37 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,39 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6937 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A021,3,75 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,73 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,77 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A022,2,6377 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,71 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A023,2,312 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6378 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A024,2,69 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,310 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A025,2,69 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,306 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,,Verify correct location
LAW.P.A026,3,314 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,81 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6312 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A027,3,318 SIMELANI AVENUE LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6367 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,91 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A028,4,6369 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,89 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,87 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A031,5,38 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,4 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,6 THABANG STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
LAW.P.A033,5,6891 LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,40 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,42 JOY STREET LAWLEY ESTATE LENASIA 1824 GT 79800008 JHB,Verify correct location
