Pole Number,Current Status,Project,Sync Date,History Count,Field Agent,Property ID
LAW.P.C331,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:13.107Z,1,Manuel,242950
LAW.P.C330,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:12.788Z,1,Manuel,242942
LAW.P.C420,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:12.037Z,1,nathan,242941
LAW.P.C419,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:11.419Z,1,Nathan,242937
LAW.P.C329,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:11.106Z,1,Manuel,242936
LAW.P.C328,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:10.527Z,2,manuel,242921
LAW.P.C317,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:10.140Z,1,nathan,242909
LAW.P.C334,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:09.837Z,1,Manuel,242906
LAW.P.C335,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:09.017Z,1,manuel,242903
LAW.P.C325,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:08.178Z,1,nathan,242902
LAW.P.C326,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:07.448Z,1,marchael,242901
LAW.P.C336,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:07.148Z,1,manuel,242888
LAW.P.C324,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:06.537Z,1,nathan,242887
LAW.P.C441,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:06.259Z,1,manuel,242882
LAW.P.C321,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:05.907Z,1,nathan,242879
LAW.P.C434,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:05.619Z,1,manuel,242864
LAW.P.D641,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:05.267Z,1,nathan,242859
LAW.P.A002,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:03.829Z,1,manuel,242785
LAW.P.A001,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:03.228Z,1,manuel,242783
LAW.P.A029,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:02.517Z,1,Nathan,242780
LAW.P.A020,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:02.197Z,1,nathan,242723
LAW.P.A019,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:01.388Z,1,Nathan,242720
LAW.P.C437,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:01.009Z,1,manuel,242652
LAW.P.C435,Pole Permission: Approved,LAWLEY,2025-07-30T12:29:00.307Z,1,manuel,242639
LAW.P.C430,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:59.918Z,1,nathan,242613
LAW.P.C473,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:58.578Z,1,nathan,242607
LAW.P.C655,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:58.168Z,1,nathan,242551
LAW.P.C651,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:57.420Z,1,manuel,242549
LAW.P.C652,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:57.018Z,1,nathan,242544
LAW.P.C653,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:56.328Z,1,manuel,242542
LAW.P.C449,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:56.039Z,1,manuel,242529
LAW.P.C450,Pole Permission: Approved,LAW,2025-07-30T12:28:55.716Z,1,nathan,242525
LAW.P.C405,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:55.408Z,1,manuel,242435
LAW.P.C443,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:54.147Z,1,nathan,242406
LAW.P.C442,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:53.548Z,1,nathan,242404
LAW.P.C654,Pole Permission: Approved,LAWLEY,2025-07-30T12:28:52.285Z,2,wian,239252
